JPT_84	NA19067	EAS
JPT_85	NA18940	EAS
JPT_86	NA19005	EAS
JPT_87	NA18967	EAS
JPT_88	NA18969	EAS
JPT_89	NA19065	EAS
JPT_90	NA18980	EAS
JPT_91	NA18972	EAS
JPT_92	NA18947	EAS
JPT_93	NA19064	EAS
JPT_94	NA18977	EAS
JPT_95	NA18966	EAS
JPT_96	NA19074	EAS
JPT_97	NA18978	EAS
JPT_98	NA18950	EAS
JPT_99	NA18995	EAS
JPT_100	NA18975	EAS
JPT_101	NA19089	EAS
JPT_102	NA19001	EAS
JPT_103	NA19091	EAS
JPT_104	NA18968	EAS
CHS_1	HG00651	EAS
CHS_2	HG00542	EAS
CHS_3	HG00543	EAS
CHS_4	HG00629	EAS
CHS_5	HG00689	EAS
CHS_6	HG00536	EAS
CHS_7	HG00410	EAS
CHS_8	HG00598	EAS
CHS_9	HG00707	EAS
CHS_10	HG00464	EAS
CHS_11	HG00531	EAS
CHS_12	HG00457	EAS
CHS_13	HG00607	EAS
CHS_14	HG00628	EAS
CHS_15	HG00657	EAS
CHS_16	HG00442	EAS
CHS_17	HG00478	EAS
CHS_18	HG00525	EAS
CHS_19	HG00530	EAS
CHS_20	HG00690	EAS
CHS_21	HG00513	EAS
CHS_22	HG00422	EAS
CHS_23	HG00701	EAS
CHS_24	HG00537	EAS
CHS_25	HG00524	EAS
CHS_26	HG00610	EAS
CHS_27	HG00589	EAS
CHS_28	HG00448	EAS
CHS_29	HG00596	EAS
CHS_30	HG00699	EAS
CHS_31	HG00693	EAS
CHS_32	HG00479	EAS
CHS_33	HG00672	EAS
CHS_34	HG00634	EAS
CHS_35	HG00684	EAS
CHS_36	HG00403	EAS
CHS_37	HG00407	EAS
CHS_38	HG00608	EAS
CHS_39	HG00500	EAS
CHS_40	HG00533	EAS
CHS_41	HG00476	EAS
CHS_42	HG00692	EAS
CHS_43	HG00421	EAS
CHS_44	HG00674	EAS
CHS_45	HG00590	EAS
CHS_46	HG00662	EAS
CHS_47	HG00409	EAS
CHS_48	HG00581	EAS
CHS_49	HG00592	EAS
CHS_50	HG00556	EAS
CHS_51	HG00728	EAS
CHS_52	HG00705	EAS
CHS_53	HG00445	EAS
CHS_54	HG00650	EAS
CHS_55	HG00704	EAS
CHS_56	HG00463	EAS
CHS_57	HG00656	EAS
