KHV_1	HG02023	KHV
KHV_2	HG01597	KHV
KHV_3	HG01853	KHV
KHV_4	HG02040	KHV
KHV_5	HG02522	KHV
KHV_6	HG02131	KHV
KHV_7	HG01861	KHV
KHV_8	HG02136	KHV
KHV_9	HG02128	KHV
KHV_10	HG02084	KHV
KHV_11	HG01851	KHV
KHV_12	HG01870	KHV
KHV_13	HG02064	KHV
KHV_14	HG02138	KHV
KHV_15	HG02512	KHV
KHV_16	HG01845	KHV
KHV_17	HG02032	KHV
KHV_18	HG01847	KHV
KHV_19	HG02028	KHV
KHV_20	HG02031	KHV
KHV_21	HG01596	KHV
KHV_22	HG02073	KHV
KHV_23	HG01865	KHV
KHV_24	HG01878	KHV
KHV_25	HG02122	KHV
KHV_26	HG01872	KHV
KHV_27	HG01841	KHV
KHV_28	HG02070	KHV
KHV_29	HG01871	KHV
KHV_30	HG01873	KHV
KHV_31	HG02050	KHV
KHV_32	HG01852	KHV
KHV_33	HG02134	KHV
KHV_34	HG02035	KHV
KHV_35	HG02072	KHV
KHV_36	HG02086	KHV
KHV_37	HG02137	KHV
KHV_38	HG01874	KHV
KHV_39	HG02087	KHV
KHV_40	HG01600	KHV
KHV_41	HG02076	KHV
KHV_42	HG01598	KHV
KHV_43	HG02141	KHV
KHV_44	HG02140	KHV
KHV_45	HG01857	KHV
KHV_46	HG02113	KHV
KHV_47	HG02020	KHV
KHV_48	HG02019	KHV
KHV_49	HG01840	KHV
KHV_50	HG01843	KHV
KHV_51	HG01858	KHV
KHV_52	HG01859	KHV
KHV_53	HG01866	KHV
KHV_54	HG02121	KHV
KHV_55	HG02057	KHV
KHV_56	HG01595	KHV
KHV_57	HG02061	KHV
KHV_58	HG01848	KHV
KHV_59	HG01599	KHV
KHV_60	HG01849	KHV
KHV_61	HG02048	KHV
KHV_62	HG01860	KHV
KHV_63	HG01864	KHV
KHV_64	HG01867	KHV
KHV_65	HG01846	KHV
KHV_66	HG02016	KHV
KHV_67	HG02142	KHV
KHV_68	HG01869	KHV
KHV_69	HG02060	KHV
KHV_70	HG02069	KHV
KHV_71	HG02127	KHV
KHV_72	HG02067	KHV
KHV_73	HG02025	KHV
KHV_74	HG01863	KHV
KHV_75	HG02017	KHV
KHV_76	HG02116	KHV
KHV_77	HG01855	KHV
KHV_78	HG01862	KHV
KHV_79	HG02513	KHV
KHV_80	HG02081	KHV
KHV_81	HG02130	KHV
KHV_82	HG02079	KHV
KHV_83	HG01868	KHV
KHV_84	HG02026	KHV
KHV_85	HG02078	KHV
KHV_86	HG02082	KHV
KHV_87	HG01844	KHV
KHV_88	HG02139	KHV
KHV_89	HG01850	KHV
KHV_90	HG02075	KHV
KHV_91	HG02085	KHV
KHV_92	HG02049	KHV
KHV_93	HG02029	KHV
KHV_94	HG01842	KHV
KHV_95	HG02058	KHV
KHV_96	HG02133	KHV
KHV_97	HG02521	KHV
KHV_98	HG02047	KHV
KHV_99	HG02088	KHV
GBR_1	HG00100	GBR
GBR_2	HG00126	GBR
GBR_3	HG00114	GBR
GBR_4	HG00244	GBR
GBR_5	HG00265	GBR
GBR_6	HG00234	GBR
GBR_7	HG00150	GBR
GBR_8	HG00256	GBR
GBR_9	HG00255	GBR
GBR_10	HG00115	GBR
GBR_11	HG00236	GBR
GBR_12	HG00096	GBR
GBR_13	HG00148	GBR
GBR_14	HG00235	GBR
GBR_15	HG00257	GBR
GBR_16	HG00113	GBR
GBR_17	HG00133	GBR
GBR_18	HG00157	GBR
GBR_19	HG00262	GBR
GBR_20	HG00099	GBR
GBR_21	HG00259	GBR
GBR_22	HG00231	GBR
GBR_23	HG00101	GBR
GBR_24	HG00127	GBR
GBR_25	HG00130	GBR
GBR_26	HG00158	GBR
GBR_27	HG00112	GBR
GBR_28	HG00258	GBR
GBR_29	HG00097	GBR
GBR_30	HG00121	GBR
GBR_31	HG02215	GBR
GBR_32	HG00253	GBR
GBR_33	HG00142	GBR
GBR_34	HG00254	GBR
GBR_35	HG00105	GBR
GBR_36	HG00250	GBR
GBR_37	HG00120	GBR
GBR_38	HG00138	GBR
GBR_39	HG00103	GBR
GBR_40	HG00141	GBR
GBR_41	HG00240	GBR
GBR_42	HG00143	GBR
GBR_43	HG00145	GBR
GBR_44	HG00132	GBR
GBR_45	HG00137	GBR
GBR_46	HG00118	GBR
GBR_47	HG01334	GBR
GBR_48	HG00260	GBR
GBR_49	HG00116	GBR
GBR_50	HG00243	GBR
GBR_51	HG00261	GBR
GBR_52	HG00102	GBR
GBR_53	HG00245	GBR
GBR_54	HG00107	GBR
GBR_55	HG00140	GBR
GBR_56	HG00264	GBR
GBR_57	HG00242	GBR
GBR_58	HG00238	GBR
GBR_59	HG00117	GBR
GBR_60	HG00128	GBR
GBR_61	HG00263	GBR
GBR_62	HG00237	GBR
GBR_63	HG00129	GBR
GBR_64	HG00123	GBR
GBR_65	HG00139	GBR
GBR_66	HG00246	GBR
GBR_67	HG00160	GBR
GBR_68	HG00159	GBR
GBR_69	HG00109	GBR
GBR_70	HG01789	GBR
GBR_71	HG00149	GBR
GBR_72	HG00125	GBR
GBR_73	HG00232	GBR
GBR_74	HG01791	GBR
GBR_75	HG00122	GBR
GBR_76	HG00110	GBR
GBR_77	HG00154	GBR
GBR_78	HG00151	GBR
GBR_79	HG00136	GBR
GBR_80	HG00251	GBR
GBR_81	HG00155	GBR
GBR_82	HG00111	GBR
GBR_83	HG00233	GBR
GBR_84	HG00106	GBR
GBR_85	HG00131	GBR
GBR_86	HG00108	GBR
GBR_87	HG00252	GBR
GBR_88	HG00119	GBR
GBR_89	HG00146	GBR
GBR_90	HG00239	GBR
GBR_91	HG01790	GBR
CLM_1	HG01341	CLM
CLM_2	HG01456	CLM
CLM_3	HG01462	CLM
CLM_4	HG01362	CLM
CLM_5	HG01485	CLM
CLM_6	HG01351	CLM
CLM_7	HG01438	CLM
CLM_8	HG01137	CLM
CLM_9	HG01441	CLM
CLM_10	HG01468	CLM
CLM_11	HG01254	CLM
CLM_12	HG01142	CLM
CLM_13	HG01431	CLM
CLM_14	HG01494	CLM
CLM_15	HG01275	CLM
CLM_16	HG01359	CLM
CLM_17	HG01112	CLM
CLM_18	HG01474	CLM
CLM_19	HG01363	CLM
CLM_20	HG01345	CLM
CLM_21	HG01149	CLM
CLM_22	HG01281	CLM
CLM_23	HG01435	CLM
CLM_24	HG01136	CLM
CLM_25	HG01350	CLM
CLM_26	HG01133	CLM
CLM_27	HG01369	CLM
CLM_28	HG01259	CLM
CLM_29	HG01498	CLM
CLM_30	HG01356	CLM
CLM_31	HG01353	CLM
CLM_32	HG01251	CLM
CLM_33	HG01464	CLM
CLM_34	HG01119	CLM
CLM_35	HG01459	CLM
CLM_36	HG01550	CLM
CLM_37	HG01125	CLM
CLM_38	HG01437	CLM
CLM_39	HG01354	CLM
CLM_40	HG01390	CLM
CLM_41	HG01140	CLM
CLM_42	HG01280	CLM
CLM_43	HG01465	CLM
CLM_44	HG01139	CLM
CLM_45	HG01374	CLM
CLM_46	HG01479	CLM
CLM_47	HG01375	CLM
CLM_48	HG01495	CLM
CLM_49	HG01284	CLM
CLM_50	HG01556	CLM
CLM_51	HG01269	CLM
CLM_52	HG01257	CLM
CLM_53	HG01389	CLM
CLM_54	HG01447	CLM
CLM_55	HG01134	CLM
CLM_56	HG01256	CLM
CLM_57	HG01121	CLM
CLM_58	HG01250	CLM
CLM_59	HG01497	CLM
CLM_60	HG01130	CLM
CLM_61	HG01551	CLM
CLM_62	HG01455	CLM
CLM_63	HG01124	CLM
CLM_64	HG01357	CLM
CLM_65	HG01372	CLM
CLM_66	HG01444	CLM
CLM_67	HG01384	CLM
CLM_68	HG01365	CLM
CLM_69	HG01122	CLM
CLM_70	HG01492	CLM
CLM_71	HG01432	CLM
CLM_72	HG01277	CLM
CLM_73	HG01488	CLM
CLM_74	HG01491	CLM
CLM_75	HG01344	CLM
CLM_76	HG01131	CLM
CLM_77	HG01486	CLM
CLM_78	HG01378	CLM
CLM_79	HG01260	CLM
CLM_80	HG01440	CLM
CLM_81	HG01461	CLM
CLM_82	HG01489	CLM
CLM_83	HG01148	CLM
CLM_84	HG01360	CLM
CLM_85	HG01377	CLM
CLM_86	HG01443	CLM
CLM_87	HG01366	CLM
CLM_88	HG01113	CLM
CLM_89	HG01272	CLM
CLM_90	HG01348	CLM
CLM_91	HG01271	CLM
CLM_92	HG01342	CLM
CLM_93	HG01253	CLM
CLM_94	HG01383	CLM
CHB_1	NA18530	CHB
CHB_2	NA18570	CHB
CHB_3	NA18648	CHB
CHB_4	NA18627	CHB
CHB_5	NA18577	CHB
CHB_6	NA18611	CHB
CHB_7	NA18558	CHB
CHB_8	NA18582	CHB
CHB_9	NA18603	CHB
CHB_10	NA18546	CHB
CHB_11	NA18608	CHB
CHB_12	NA18625	CHB
CHB_13	NA18544	CHB
CHB_14	NA18617	CHB
CHB_15	NA18609	CHB
CHB_16	NA18528	CHB
CHB_17	NA18591	CHB
CHB_18	NA18532	CHB
CHB_19	NA18596	CHB
CHB_20	NA18636	CHB
CHB_21	NA18640	CHB
CHB_22	NA18646	CHB
CHB_23	NA18619	CHB
CHB_24	NA18566	CHB
CHB_25	NA18635	CHB
CHB_26	NA18740	CHB
CHB_27	NA18605	CHB
CHB_28	NA18563	CHB
CHB_29	NA18610	CHB
CHB_30	NA18537	CHB
CHB_31	NA18637	CHB
CHB_32	NA18541	CHB
CHB_33	NA18531	CHB
CHB_34	NA18555	CHB
CHB_35	NA18748	CHB
CHB_36	NA18599	CHB
CHB_37	NA18639	CHB
CHB_38	NA18526	CHB
CHB_39	NA18564	CHB
CHB_40	NA18597	CHB
CHB_41	NA18612	CHB
CHB_42	NA18549	CHB
CHB_43	NA18606	CHB
CHB_44	NA18539	CHB
CHB_45	NA18633	CHB
CHB_46	NA18538	CHB
CHB_47	NA18542	CHB
CHB_48	NA18565	CHB
CHB_49	NA18525	CHB
CHB_50	NA18749	CHB
CHB_51	NA18548	CHB
CHB_52	NA18593	CHB
CHB_53	NA18561	CHB
CHB_54	NA18560	CHB
CHB_55	NA18567	CHB
CHB_56	NA18559	CHB
CHB_57	NA18550	CHB
CHB_58	NA18602	CHB
CHB_59	NA18536	CHB
CHB_60	NA18553	CHB
CHB_61	NA18747	CHB
CHB_62	NA18643	CHB
CHB_63	NA18757	CHB
CHB_64	NA18620	CHB
CHB_65	NA18745	CHB
CHB_66	NA18613	CHB
CHB_67	NA18579	CHB
CHB_68	NA18562	CHB
